Gènere,Edat,Compra,Rank_1,Rank_2,Rank_3,Rank_4,Rank_5,Rank_6,Rank_7,Rank_8,Rank_9,Rank_10
Home,20,Ambdues opcions per igual,LE222S01C-M11@10,TOB22S01Q-K11@11.1,OS322S0A0-Q11@20.1,C2342D00U-G11@8,2NA22S09W-C12@1.1,OD142G00W-K11@10,NI122O0D4-C11@1.1,PE1210001-A11@2.1,MOQ21J005-Q11@10,GS122O0G0-Q11@12.1
Home,23,Físicament en botiga,GS122O0G0-Q11@12.1,QS122S02Q-C11@11,1FI21J009-C11@11,TO222P04H-K11@10,LE422S00X-Q11@8,JA222S12S-G11@8,LY222S01H-K11@8,GP022Q01V-G11@10,SU222S0S3-Q11@15,ZK121J01D-A11@8.1
Home,22,Físicament en botiga,SO222O0NQ-K11@11,SW822O003-K11@8,SU222S0S3-Q11@15,WO322S00J-J11@4,GS122S06V-N11@10,ON321J0HR-J11@4,DC122O052-Q11@14.2,UR622J001-K13@8,TO222D03U-K13@10,SO222O0OS-C11@20
Dona,20,Físicament en botiga,SO222S08C-Q11@6.1,SW822O003-K11@8,1VJ22S01Z-Q11@8,DC122O052-Q11@14.2,M0M22S03N-Q11@1.1,SU222S0S3-Q11@15,SO222O0NQ-K11@11,PU121J03T-K11@10,SU222O15O-K11@16.1,S3422O06B-Q11@8
Home,20,Ambdues opcions per igual,C2342D00U-G11@8,PI922SA08-K12@12.1,TO222P04H-K11@10,LE422S00X-Q11@8,JA222S12S-G11@8,NI122O0D4-C11@1.1,NI121J088-M11@10,2NA22S0A0-C11@1.1,PU142D0NM-Q11@10,SU222S0SG-K11@21
Dona,20,Ambdues opcions per igual,HU722O03K-A11@7,FA522S00M-Q11@10,TO122S04L-K12@9,M0M22O00C-A11@10,TI122O013-K12@7,SW822O003-K11@8,NA621J020-C11@10,M0M22O0B5-Q11@7,SU222O15O-K11@16.1,QS121J048-C11@19
Home,21,Online,LY222S01H-K11@8,TO222P04H-K11@10,2NA21J0M4-M12@1.1,NI121J08I-C11@15,P6822O06D-C11@10.1,2NA21J0LP-K11@1.1,SU222S0S3-Q11@15,NI122O0AR-B11@8,UR622O01U-M11@9,NI122O0AV-K11@12
Home,23,Físicament en botiga,CO422S03F-K11@9,M0M22O00C-A11@10,SO222O0OS-C11@20,P6822O06D-C11@10.1,ON321J0HR-J11@4,WEB21J001-O11@4,UR622O02B-C11@1.2,LY222S01H-K11@8,OS322S0A0-Q11@20.1,TH342D00W-A11@10
Home,20,Ambdues opcions per igual,TH342D00W-A11@10,DC122O052-Q11@14.2,QS122S02Q-C11@11,CO422S03F-K11@9,LA222S02G-K11@10,GS122S06V-N11@10,UR622O01U-M11@9,2NA22S08D-M11@1.1,2NA21J0LP-K11@1.1,SU221J0TJ-K11@8
Home,21,Ambdues opcions per igual,TOB22S01Q-K11@11.1,SU222S0SG-K11@21,CO422S03F-K11@9,UR622O02B-G11@1.1,LY222S01H-K11@8,NI121J088-M11@10,PO221I04D-K11@8,TO122S04L-K12@9,2NA22S08D-M11@1.1,NI121J086-N11@16
